competition, planner, domain, pn, steps, time
IPC2002, LPG.speed, DriverLog, pfile2, 24, 20
IPC2002, LPG.speed, DriverLog, pfile3, 12, 10
IPC2002, LPG.speed, DriverLog, pfile4, 32, 20
IPC2002, LPG.speed, DriverLog, pfile5, 22, 20
IPC2002, LPG.speed, DriverLog, pfile6, 63, 20
IPC2002, LPG.speed, DriverLog, pfile7, 13, 20
IPC2002, LPG.speed, DriverLog, pfile8, 25, 20
IPC2002, LPG.speed, DriverLog, pfile9, 25, 30
IPC2002, LPG.speed, DriverLog, pfile10, 20, 30
IPC2002, LPG.speed, DriverLog, pfile11, 25, 20
IPC2002, LPG.speed, DriverLog, pfile12, 58, 3890
IPC2002, LPG.speed, DriverLog, pfile13, 34, 90
IPC2002, LPG.speed, DriverLog, pfile14, 34, 90
IPC2002, LPG.speed, DriverLog, pfile15, 47, 310
IPC2002, LPG.speed, DriverLog, pfile17, 110, 2320
IPC2002, LPG.speed, DriverLog, pfile18, 149, 3680
IPC2002, LPG.speed, DriverLog, pfile20, 272, 58770
IPC2002, MIPS, DriverLog, pfile1, 7, 59
IPC2002, MIPS, DriverLog, pfile2, 22, 80
IPC2002, MIPS, DriverLog, pfile3, 18, 70
IPC2002, MIPS, DriverLog, pfile4, 19, 70
IPC2002, MIPS, DriverLog, pfile5, 27, 89
IPC2002, MIPS, DriverLog, pfile6, 13, 70
IPC2002, MIPS, DriverLog, pfile7, 15, 80
IPC2002, MIPS, DriverLog, pfile8, 27, 619
IPC2002, MIPS, DriverLog, pfile9, 22, 100
IPC2002, MIPS, DriverLog, pfile10, 21, 119
IPC2002, MIPS, DriverLog, pfile11, 22, 130
IPC2002, MIPS, DriverLog, pfile12, 42, 1689
IPC2002, MIPS, DriverLog, pfile13, 36, 680
IPC2002, MIPS, DriverLog, pfile14, 40, 880
IPC2002, MIPS, DriverLog, pfile15, 42, 2040
IPC2002, MIPS.plain, DriverLog, pfile1, 7, 29
IPC2002, MIPS.plain, DriverLog, pfile2, 22, 40
IPC2002, MIPS.plain, DriverLog, pfile3, 18, 40
IPC2002, MIPS.plain, DriverLog, pfile4, 19, 50
IPC2002, MIPS.plain, DriverLog, pfile5, 27, 59
IPC2002, MIPS.plain, DriverLog, pfile6, 13, 59
IPC2002, MIPS.plain, DriverLog, pfile7, 15, 100
IPC2002, MIPS.plain, DriverLog, pfile8, 27, 390
IPC2002, MIPS.plain, DriverLog, pfile9, 22, 119
IPC2002, MIPS.plain, DriverLog, pfile10, 21, 309
IPC2002, MIPS.plain, DriverLog, pfile11, 22, 179
IPC2002, MIPS.plain, DriverLog, pfile12, 42, 1780
IPC2002, MIPS.plain, DriverLog, pfile13, 36, 760
IPC2002, MIPS.plain, DriverLog, pfile14, 40, 1389
IPC2002, MIPS.plain, DriverLog, pfile15, 42, 13259
IPC2002, SHOP2, DriverLog, pfile1, 7, 0
IPC2002, SHOP2, DriverLog, pfile2, 23, 10
IPC2002, SHOP2, DriverLog, pfile3, 25, 10
IPC2002, SHOP2, DriverLog, pfile4, 27, 10
IPC2002, SHOP2, DriverLog, pfile5, 22, 10
IPC2002, SHOP2, DriverLog, pfile6, 16, 10
IPC2002, SHOP2, DriverLog, pfile7, 18, 10
IPC2002, SHOP2, DriverLog, pfile8, 33, 30
IPC2002, SHOP2, DriverLog, pfile9, 32, 20
IPC2002, SHOP2, DriverLog, pfile10, 26, 10
IPC2002, SHOP2, DriverLog, pfile11, 29, 20
IPC2002, SHOP2, DriverLog, pfile12, 56, 40
IPC2002, SHOP2, DriverLog, pfile13, 48, 20
IPC2002, SHOP2, DriverLog, pfile14, 51, 30
IPC2002, SHOP2, DriverLog, pfile15, 58, 40
IPC2002, SHOP2, DriverLog, pfile16, 116, 140
IPC2002, SHOP2, DriverLog, pfile17, 122, 170
IPC2002, SHOP2, DriverLog, pfile18, 138, 220
IPC2002, SHOP2, DriverLog, pfile19, 186, 420
IPC2002, SHOP2, DriverLog, pfile20, 170, 350
IPC2002, SemSyn, DriverLog, pfile1, 7, 88
IPC2002, Simplanner, DriverLog, pfile1, 8, 0
IPC2002, Simplanner, DriverLog, pfile2, 32, 239
IPC2002, Simplanner, DriverLog, pfile3, 12, 100
IPC2002, Simplanner, DriverLog, pfile4, 19, 79
IPC2002, Simplanner, DriverLog, pfile5, 21, 9
IPC2002, Simplanner, DriverLog, pfile6, 17, 19
IPC2002, Simplanner, DriverLog, pfile7, 14, 19
IPC2002, Simplanner, DriverLog, pfile8, 31, 50
IPC2002, Simplanner, DriverLog, pfile10, 20, 39
IPC2002, Simplanner, DriverLog, pfile11, 41, 290
IPC2002, Simplanner, DriverLog, pfile15, 49, 2150
IPC2002, Stella, DriverLog, pfile1, 7, 1029
IPC2002, Stella, DriverLog, pfile2, 28, 4259
IPC2002, Stella, DriverLog, pfile3, 13, 1639
IPC2002, Stella, DriverLog, pfile4, 30, 4200
IPC2002, Stella, DriverLog, pfile5, 22, 2009
IPC2002, Stella, DriverLog, pfile6, 16, 3180
IPC2002, Stella, DriverLog, pfile7, 21, 3660
IPC2002, Stella, DriverLog, pfile8, 38, 7060
IPC2002, Stella, DriverLog, pfile10, 26, 2769
IPC2002, Stella, DriverLog, pfile11, 35, 4459
IPC2002, TALPlanner, DriverLog, pfile1, 7, 120
IPC2002, TALPlanner, DriverLog, pfile2, 21, 110
IPC2002, TALPlanner, DriverLog, pfile3, 13, 40
IPC2002, TALPlanner, DriverLog, pfile4, 19, 40
IPC2002, TALPlanner, DriverLog, pfile5, 20, 20
IPC2002, TALPlanner, DriverLog, pfile6, 18, 30
IPC2002, TALPlanner, DriverLog, pfile7, 20, 30
IPC2002, TALPlanner, DriverLog, pfile8, 27, 20
IPC2002, TALPlanner, DriverLog, pfile9, 24, 40
IPC2002, TALPlanner, DriverLog, pfile10, 17, 50
IPC2002, TALPlanner, DriverLog, pfile11, 23, 30
IPC2002, TALPlanner, DriverLog, pfile12, 41, 40
IPC2002, TALPlanner, DriverLog, pfile13, 28, 30
IPC2002, TALPlanner, DriverLog, pfile14, 32, 20
IPC2002, TALPlanner, DriverLog, pfile15, 54, 50
IPC2002, TALPlanner, DriverLog, pfile16, 98, 50
IPC2002, TALPlanner, DriverLog, pfile17, 86, 30
IPC2002, TALPlanner, DriverLog, pfile18, 108, 70
IPC2002, TALPlanner, DriverLog, pfile19, 130, 90
IPC2002, TALPlanner, DriverLog, pfile20, 155, 70
IPC2002, TLPlan, DriverLog, pfile1, 7, 0
IPC2002, TLPlan, DriverLog, pfile2, 22, 20
IPC2002, TLPlan, DriverLog, pfile3, 13, 10
IPC2002, TLPlan, DriverLog, pfile4, 20, 10
IPC2002, TLPlan, DriverLog, pfile5, 21, 10
IPC2002, TLPlan, DriverLog, pfile6, 14, 10
IPC2002, TLPlan, DriverLog, pfile7, 20, 10
IPC2002, TLPlan, DriverLog, pfile8, 29, 10
IPC2002, TLPlan, DriverLog, pfile9, 26, 10
IPC2002, TLPlan, DriverLog, pfile10, 22, 20
IPC2002, TLPlan, DriverLog, pfile11, 24, 20
IPC2002, TLPlan, DriverLog, pfile12, 39, 10
IPC2002, TLPlan, DriverLog, pfile13, 27, 20
IPC2002, TLPlan, DriverLog, pfile14, 37, 10
IPC2002, TLPlan, DriverLog, pfile15, 44, 20
