com,domain,planner,cdkey,akey,gn,pkey,fkey,solved,steps,time
IPC2002,Depots,MIPS.plain,IPC2002-Depots,IPC2002-Depots-MIPS.plain,depotprob1234,IPC2002-Depots-depotprob1234,IPC2002-Depots-MIPS.plain-depotprob1234,1,23,770
IPC2002,Depots,MIPS.plain,IPC2002-Depots,IPC2002-Depots-MIPS.plain,depotprob4321,IPC2002-Depots-depotprob4321,IPC2002-Depots-MIPS.plain-depotprob4321,1,48,1750
IPC2002,Depots,MIPS.plain,IPC2002-Depots,IPC2002-Depots-MIPS.plain,depotprob18180,IPC2002-Depots-depotprob18180,IPC2002-Depots-MIPS.plain-depotprob18180,1,34,107730
IPC2002,Depots,MIPS.plain,IPC2002-Depots,IPC2002-Depots-MIPS.plain,depotprob18183,IPC2002-Depots-depotprob18183,IPC2002-Depots-MIPS.plain-depotprob18183,1,25,200
IPC2002,Depots,MIPS.plain,IPC2002-Depots,IPC2002-Depots-MIPS.plain,depotprob18186,IPC2002-Depots-depotprob18186,IPC2002-Depots-MIPS.plain-depotprob18186,1,32,250319
IPC2002,Depots,SHOP2,IPC2002-Depots,IPC2002-Depots-SHOP2,depotprob1818,IPC2002-Depots-depotprob1818,IPC2002-Depots-SHOP2-depotprob1818,1,11,0
IPC2002,Depots,SHOP2,IPC2002-Depots,IPC2002-Depots-SHOP2,depotprob7512,IPC2002-Depots-depotprob7512,IPC2002-Depots-SHOP2-depotprob7512,1,16,10
IPC2002,Depots,SHOP2,IPC2002-Depots,IPC2002-Depots-SHOP2,depotprob1935,IPC2002-Depots-depotprob1935,IPC2002-Depots-SHOP2-depotprob1935,1,28,20
IPC2002,Depots,SHOP2,IPC2002-Depots,IPC2002-Depots-SHOP2,depotprob6512,IPC2002-Depots-depotprob6512,IPC2002-Depots-SHOP2-depotprob6512,1,39,20
IPC2002,Depots,SHOP2,IPC2002-Depots,IPC2002-Depots-SHOP2,depotprob1212,IPC2002-Depots-depotprob1212,IPC2002-Depots-SHOP2-depotprob1212,1,49,30
IPC2002,Depots,SHOP2,IPC2002-Depots,IPC2002-Depots-SHOP2,depotprob5656,IPC2002-Depots-depotprob5656,IPC2002-Depots-SHOP2-depotprob5656,1,61,60
IPC2002,Depots,SHOP2,IPC2002-Depots,IPC2002-Depots-SHOP2,depotprob1234,IPC2002-Depots-depotprob1234,IPC2002-Depots-SHOP2-depotprob1234,1,23,20
IPC2002,Depots,SHOP2,IPC2002-Depots,IPC2002-Depots-SHOP2,depotprob4321,IPC2002-Depots-depotprob4321,IPC2002-Depots-SHOP2-depotprob4321,1,59,50
IPC2002,Depots,SHOP2,IPC2002-Depots,IPC2002-Depots-SHOP2,depotprob5451,IPC2002-Depots-depotprob5451,IPC2002-Depots-SHOP2-depotprob5451,1,76,70
IPC2002,Depots,SHOP2,IPC2002-Depots,IPC2002-Depots-SHOP2,depotprob18180,IPC2002-Depots-depotprob18180,IPC2002-Depots-SHOP2-depotprob18180,1,30,20
IPC2002,Depots,SHOP2,IPC2002-Depots,IPC2002-Depots-SHOP2,depotprob18181,IPC2002-Depots-depotprob18181,IPC2002-Depots-SHOP2-depotprob18181,1,49,40
IPC2002,Depots,SHOP2,IPC2002-Depots,IPC2002-Depots-SHOP2,depotprob18182,IPC2002-Depots-depotprob18182,IPC2002-Depots-SHOP2-depotprob18182,1,81,80
IPC2002,Depots,SHOP2,IPC2002-Depots,IPC2002-Depots-SHOP2,depotprob18183,IPC2002-Depots-depotprob18183,IPC2002-Depots-SHOP2-depotprob18183,1,27,20
IPC2002,Depots,SHOP2,IPC2002-Depots,IPC2002-Depots-SHOP2,depotprob18184,IPC2002-Depots-depotprob18184,IPC2002-Depots-SHOP2-depotprob18184,1,43,40
IPC2002,Depots,SHOP2,IPC2002-Depots,IPC2002-Depots-SHOP2,depotprob18185,IPC2002-Depots-depotprob18185,IPC2002-Depots-SHOP2-depotprob18185,1,74,90
IPC2002,Depots,SHOP2,IPC2002-Depots,IPC2002-Depots-SHOP2,depotprob18186,IPC2002-Depots-depotprob18186,IPC2002-Depots-SHOP2-depotprob18186,1,32,20
IPC2002,Depots,SHOP2,IPC2002-Depots,IPC2002-Depots-SHOP2,depotprob18187,IPC2002-Depots-depotprob18187,IPC2002-Depots-SHOP2-depotprob18187,1,34,30
IPC2002,Depots,SHOP2,IPC2002-Depots,IPC2002-Depots-SHOP2,depotprob18188,IPC2002-Depots-depotprob18188,IPC2002-Depots-SHOP2-depotprob18188,1,78,70
IPC2002,Depots,SHOP2,IPC2002-Depots,IPC2002-Depots-SHOP2,depotprob18189,IPC2002-Depots-depotprob18189,IPC2002-Depots-SHOP2-depotprob18189,1,39,30
IPC2002,Depots,SHOP2,IPC2002-Depots,IPC2002-Depots-SHOP2,depotprob75120,IPC2002-Depots-depotprob75120,IPC2002-Depots-SHOP2-depotprob75120,1,77,80
IPC2002,Depots,SHOP2,IPC2002-Depots,IPC2002-Depots-SHOP2,depotprob75121,IPC2002-Depots-depotprob75121,IPC2002-Depots-SHOP2-depotprob75121,1,34,30
IPC2002,Depots,SHOP2,IPC2002-Depots,IPC2002-Depots-SHOP2,depotprob75122,IPC2002-Depots-depotprob75122,IPC2002-Depots-SHOP2-depotprob75122,1,98,140
IPC2002,Depots,SHOP2.quality,IPC2002-Depots,IPC2002-Depots-SHOP2.quality,depotprob1818,IPC2002-Depots-depotprob1818,IPC2002-Depots-SHOP2.quality-depotprob1818,1,10,0
IPC2002,Depots,SHOP2.quality,IPC2002-Depots,IPC2002-Depots-SHOP2.quality,depotprob7512,IPC2002-Depots-depotprob7512,IPC2002-Depots-SHOP2.quality-depotprob7512,1,16,40
IPC2002,Depots,SHOP2.quality,IPC2002-Depots,IPC2002-Depots-SHOP2.quality,depotprob1935,IPC2002-Depots-depotprob1935,IPC2002-Depots-SHOP2.quality-depotprob1935,1,27,80
IPC2002,Depots,SHOP2.quality,IPC2002-Depots,IPC2002-Depots-SHOP2.quality,depotprob6512,IPC2002-Depots-depotprob6512,IPC2002-Depots-SHOP2.quality-depotprob6512,1,37,1220
IPC2002,Depots,SHOP2.quality,IPC2002-Depots,IPC2002-Depots-SHOP2.quality,depotprob1212,IPC2002-Depots-depotprob1212,IPC2002-Depots-SHOP2.quality-depotprob1212,1,49,1730
IPC2002,Depots,SHOP2.quality,IPC2002-Depots,IPC2002-Depots-SHOP2.quality,depotprob5656,IPC2002-Depots-depotprob5656,IPC2002-Depots-SHOP2.quality-depotprob5656,1,61,350
IPC2002,Depots,SHOP2.quality,IPC2002-Depots,IPC2002-Depots-SHOP2.quality,depotprob1234,IPC2002-Depots-depotprob1234,IPC2002-Depots-SHOP2.quality-depotprob1234,1,23,40
