competition, planner, domain, pn, steps, time
IPC2002, TALPlanner, Depots, depotprob5656, 60, 60
IPC2002, TALPlanner, Depots, depotprob1234, 22, 40
IPC2002, TALPlanner, Depots, depotprob4321, 34, 40
IPC2002, TALPlanner, Depots, depotprob5451, 66, 30
IPC2002, TALPlanner, Depots, depotprob18180, 26, 30
IPC2002, TALPlanner, Depots, depotprob18181, 50, 40
IPC2002, TALPlanner, Depots, depotprob18182, 64, 60
IPC2002, TALPlanner, Depots, depotprob18183, 25, 40
IPC2002, TALPlanner, Depots, depotprob18184, 32, 20
IPC2002, TALPlanner, Depots, depotprob18185, 64, 50
IPC2002, TALPlanner, Depots, depotprob18186, 28, 20
IPC2002, TALPlanner, Depots, depotprob18187, 28, 40
IPC2002, TALPlanner, Depots, depotprob18188, 64, 50
IPC2002, TALPlanner, Depots, depotprob18189, 43, 30
IPC2002, TALPlanner, Depots, depotprob75120, 73, 40
IPC2002, TALPlanner, Depots, depotprob75121, 36, 20
IPC2002, TALPlanner, Depots, depotprob75122, 90, 40
IPC2002, TLPlan, Depots, depotprob1818, 11, 20
IPC2002, TLPlan, Depots, depotprob7512, 15, 10
IPC2002, TLPlan, Depots, depotprob1935, 32, 20
IPC2002, TLPlan, Depots, depotprob6512, 30, 10
IPC2002, TLPlan, Depots, depotprob1212, 69, 10
IPC2002, TLPlan, Depots, depotprob5656, 77, 30
IPC2002, TLPlan, Depots, depotprob1234, 21, 10
IPC2002, TLPlan, Depots, depotprob4321, 33, 10
IPC2002, TLPlan, Depots, depotprob5451, 60, 30
IPC2002, TLPlan, Depots, depotprob18180, 28, 10
IPC2002, TLPlan, Depots, depotprob18181, 51, 20
IPC2002, TLPlan, Depots, depotprob18182, 73, 20
IPC2002, TLPlan, Depots, depotprob18183, 25, 20
IPC2002, TLPlan, Depots, depotprob18184, 34, 10
IPC2002, TLPlan, Depots, depotprob18185, 69, 20
IPC2002, TLPlan, Depots, depotprob18186, 28, 10
IPC2002, TLPlan, Depots, depotprob18187, 25, 10
IPC2002, TLPlan, Depots, depotprob18188, 69, 30
IPC2002, TLPlan, Depots, depotprob18189, 44, 20
IPC2002, TLPlan, Depots, depotprob75120, 70, 50
IPC2002, TLPlan, Depots, depotprob75121, 34, 20
IPC2002, TLPlan, Depots, depotprob75122, 100, 110
IPC2002, VHPOP, Depots, depotprob1818, 10, 90
IPC2002, VHPOP, Depots, depotprob7512, 15, 59310
IPC2002, VHPOP, Depots, depotprob1234, 25, 159300
IPC2002, VHPOP, Depots, depotprobu1818, 111, 230
IPC2002, VHPOP, Depots, depotprobu7512, 200, 530
IPC2002, VHPOP, Depots, depotprobu1935, 330, 1310
IPC2002, VHPOP, Depots, depotprobu6512, 421, 1810
IPC2002, VHPOP, Depots, depotprobu1212, 509, 3040
IPC2002, VHPOP, Depots, depotprobu5656, 784, 5900
IPC2002, VHPOP, Depots, depotprobu1234, 221, 560
IPC2002, VHPOP, Depots, depotprobu4321, 211, 470
IPC2002, VHPOP, Depots, depotprobu5451, 200, 410
IPC2002, VHPOP, Depots, depotprobu18180, 187, 230
IPC2002, VHPOP, Depots, depotprobu18181, 270, 1040
IPC2002, VHPOP, Depots, depotprobu18182, 358, 1650
IPC2002, VHPOP, Depots, depotprobu18183, 302, 710
IPC2002, VHPOP, Depots, depotprobu18184, 392, 1730
IPC2002, VHPOP, Depots, depotprobu18185, 498, 2910
IPC2002, VHPOP, Depots, depotprobu18186, 688, 5970
IPC2002, VHPOP, Depots, depotprobu18187, 584, 4370
IPC2002, VHPOP, Depots, depotprobu18188, 1094, 22560
IPC2002, VHPOP, Depots, depotprobu18189, 416, 1930
IPC2002, VHPOP, Depots, depotprobu75120, 520, 2320
IPC2002, VHPOP, Depots, depotprobu75121, 772, 5490
IPC2002, VHPOP, Depots, depotprobu75122, 1069, 11190
IPC2002, VHPOP, Depots, depotprobu1818, 109, 60
IPC2002, VHPOP, Depots, depotprobu7512, 189, 80
IPC2002, VHPOP, Depots, depotprobu1935, 276, 60
IPC2002, VHPOP, Depots, depotprobu6512, 365, 100
IPC2002, VHPOP, Depots, depotprobu1212, 456, 110
IPC2002, VHPOP, Depots, depotprobu5656, 708, 190
IPC2002, VHPOP, Depots, depotprobu1234, 216, 60
IPC2002, VHPOP, Depots, depotprobu4321, 196, 40
IPC2002, VHPOP, Depots, depotprobu5451, 206, 60
IPC2002, VHPOP, Depots, depotprobu18180, 172, 40
IPC2002, VHPOP, Depots, depotprobu18181, 270, 40
IPC2002, VHPOP, Depots, depotprobu18182, 371, 70
IPC2002, VHPOP, Depots, depotprobu18183, 256, 50
IPC2002, VHPOP, Depots, depotprobu18184, 352, 60
IPC2002, VHPOP, Depots, depotprobu18185, 447, 130
IPC2002, VHPOP, Depots, depotprobu18186, 405, 80
IPC2002, VHPOP, Depots, depotprobu18187, 431, 80
IPC2002, VHPOP, Depots, depotprobu18188, 501, 120
IPC2002, VHPOP, Depots, depotprobu18189, 400, 80
IPC2002, VHPOP, Depots, depotprobu75120, 455, 120
IPC2002, VHPOP, Depots, depotprobu75121, 719, 180
IPC2002, VHPOP, Depots, depotprobu75122, 934, 330
IPC2002, VHPOP, Depots, depotprobu1818, 98, 110
IPC2002, VHPOP, Depots, depotprobu7512, 173, 290
IPC2002, VHPOP, Depots, depotprobu1935, 299, 600
IPC2002, VHPOP, Depots, depotprobu6512, 423, 940
IPC2002, VHPOP, Depots, depotprobu1212, 599, 1710
IPC2002, VHPOP, Depots, depotprobu5656, 993, 3920
IPC2002, VHPOP, Depots, depotprobu1234, 216, 300
IPC2002, VHPOP, Depots, depotprobu4321, 230, 360
IPC2002, VHPOP, Depots, depotprobu5451, 208, 190
IPC2002, VHPOP, Depots, depotprobu18180, 244, 110
IPC2002, VHPOP, Depots, depotprobu18181, 409, 270
IPC2002, VHPOP, Depots, depotprobu18182, 601, 520
IPC2002, VHPOP, Depots, depotprobu18183, 348, 300
