Planner,Dom,Problem,Time,Steps,comp
hsp,mystery,strips-mysty-x-1,2233,5,IPC1998
ipp,mystery,strips-mysty-x-1,100,5,IPC1998
stan,mystery,strips-mysty-x-1,40,5,IPC1998
stan,mystery,strips-mysty-x-10,9163,8,IPC1998
blackbox,mystery,strips-mysty-x-11,742,7,IPC1998
hsp,mystery,strips-mysty-x-11,4489,12,IPC1998
ipp,mystery,strips-mysty-x-11,390,7,IPC1998
stan,mystery,strips-mysty-x-11,109,7,IPC1998
stan,mystery,strips-mysty-x-13,1789,16,IPC1998
blackbox,mystery,strips-mysty-x-17,3484,4,IPC1998
hsp,mystery,strips-mysty-x-17,86878,10,IPC1998
ipp,mystery,strips-mysty-x-17,20640,4,IPC1998
stan,mystery,strips-mysty-x-17,1746,4,IPC1998
blackbox,mystery,strips-mysty-x-19,7552,8,IPC1998
ipp,mystery,strips-mysty-x-19,14940,9,IPC1998
stan,mystery,strips-mysty-x-19,877,8,IPC1998
blackbox,mystery,strips-mysty-x-2,6122,9,IPC1998
hsp,mystery,strips-mysty-x-2,67303,22,IPC1998
ipp,mystery,strips-mysty-x-2,12500,9,IPC1998
stan,mystery,strips-mysty-x-2,409,9,IPC1998
blackbox,mystery,strips-mysty-x-25,117,4,IPC1998
hsp,mystery,strips-mysty-x-25,2275,4,IPC1998
ipp,mystery,strips-mysty-x-25,110,4,IPC1998
stan,mystery,strips-mysty-x-25,46,6,IPC1998
blackbox,mystery,strips-mysty-x-26,1737,8,IPC1998
hsp,mystery,strips-mysty-x-26,11287,13,IPC1998
ipp,mystery,strips-mysty-x-26,2110,6,IPC1998
stan,mystery,strips-mysty-x-26,685,10,IPC1998
blackbox,mystery,strips-mysty-x-27,598,7,IPC1998
hsp,mystery,strips-mysty-x-27,4279,5,IPC1998
ipp,mystery,strips-mysty-x-27,1020,7,IPC1998
stan,mystery,strips-mysty-x-27,281,7,IPC1998
blackbox,mystery,strips-mysty-x-28,545,7,IPC1998
hsp,mystery,strips-mysty-x-28,2746,18,IPC1998
ipp,mystery,strips-mysty-x-28,260,7,IPC1998
stan,mystery,strips-mysty-x-28,64,7,IPC1998
blackbox,mystery,strips-mysty-x-29,507,4,IPC1998
hsp,mystery,strips-mysty-x-29,3360,5,IPC1998
ipp,mystery,strips-mysty-x-29,890,4,IPC1998
stan,mystery,strips-mysty-x-29,107,4,IPC1998
blackbox,mystery,strips-mysty-x-3,615,4,IPC1998
hsp,mystery,strips-mysty-x-3,3948,4,IPC1998
ipp,mystery,strips-mysty-x-3,1220,4,IPC1998
stan,mystery,strips-mysty-x-3,197,4,IPC1998
blackbox,mystery,strips-mysty-x-30,5642,12,IPC1998
hsp,mystery,strips-mysty-x-30,100143,18,IPC1998
ipp,mystery,strips-mysty-x-30,10020,13,IPC1998
stan,mystery,strips-mysty-x-30,7729,13,IPC1998
blackbox,mystery,strips-mysty-x-9,1436,8,IPC1998
hsp,mystery,strips-mysty-x-9,7275,8,IPC1998
ipp,mystery,strips-mysty-x-9,1930,8,IPC1998
stan,mystery,strips-mysty-x-9,165,8,IPC1998
altalt,Elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,126,19,IPC2000
