"","com","planner","dom","gn","Class","Cfactor","Cresp","Ctran","R2","Dist"
"877","IPC2000","propplan","schedule","schedule-2-2",0,"D","Time","D^-9vTime^-3",0.965750255510986,0
"951","IPC2000","propplan","schedule","schedule-3-0",2,"D","Time","D^-9vTime^-3",0.965750255510986,0
"966","IPC2000","propplan","schedule","schedule-3-2",0,"D","Time","D^-9vTime^-3",0.965750255510986,0
"977","IPC2000","propplan","schedule","schedule-3-1",0,"D","Time","D^-9vTime^-3",0.965750255510986,0
"1057","IPC2000","propplan","schedule","schedule-4-0",0,"D","Time","D^-9vTime^-3",0.965750255510986,0
"1072","IPC2000","propplan","schedule","schedule-4-1",2,"D","Time","D^-9vTime^-3",0.965750255510986,0
"1076","IPC2000","propplan","schedule","schedule-4-2",0,"D","Time","D^-9vTime^-3",0.965750255510986,0
"1170","IPC2000","propplan","schedule","schedule-5-0",0,"D","Time","D^-9vTime^-3",0.965750255510986,0
"1182","IPC2000","propplan","schedule","schedule-5-1",0,"D","Time","D^-9vTime^-3",0.965750255510986,0
"1198","IPC2000","propplan","schedule","schedule-6-2",1,"D","Time","D^-9vTime^-3",0.965750255510986,0
"1346","IPC2000","mips","schedule","schedule-2-1",0,"D","Time","D^-9vTime^-3",0.772088816953905,0
"1358","IPC2000","mips","schedule","schedule-2-0",2,"D","Time","D^-9vTime^-3",0.772088816953905,0
"1377","IPC2000","mips","schedule","schedule-2-2",0,"D","Time","D^-9vTime^-3",0.772088816953905,0
"1451","IPC2000","mips","schedule","schedule-3-0",2,"D","Time","D^-9vTime^-3",0.772088816953905,0
"1466","IPC2000","mips","schedule","schedule-3-2",2,"D","Time","D^-9vTime^-3",0.772088816953905,0
"1477","IPC2000","mips","schedule","schedule-3-1",1,"D","Time","D^-9vTime^-3",0.772088816953905,0
"1557","IPC2000","mips","schedule","schedule-4-0",0,"D","Time","D^-9vTime^-3",0.772088816953905,0
"1572","IPC2000","mips","schedule","schedule-4-1",0,"D","Time","D^-9vTime^-3",0.772088816953905,0
"1576","IPC2000","mips","schedule","schedule-4-2",0,"D","Time","D^-9vTime^-3",0.772088816953905,0
"1670","IPC2000","mips","schedule","schedule-5-0",0,"D","Time","D^-9vTime^-3",0.772088816953905,0
"1671","IPC2000","mips","schedule","schedule-5-0",0,"D","Time","D^-9vTime^-3",0.772088816953905,0
"1672","IPC2000","mips","schedule","schedule-5-0",0,"D","Time","D^-9vTime^-3",0.772088816953905,0
"1673","IPC2000","mips","schedule","schedule-5-0",0,"D","Time","D^-9vTime^-3",0.772088816953905,0
"1685","IPC2000","mips","schedule","schedule-5-1",0,"D","Time","D^-9vTime^-3",0.772088816953905,0
"1686","IPC2000","mips","schedule","schedule-5-1",0,"D","Time","D^-9vTime^-3",0.772088816953905,0
"1687","IPC2000","mips","schedule","schedule-5-1",0,"D","Time","D^-9vTime^-3",0.772088816953905,0
"1688","IPC2000","mips","schedule","schedule-5-1",0,"D","Time","D^-9vTime^-3",0.772088816953905,0
"1703","IPC2000","mips","schedule","schedule-6-0",0,"D","Time","D^-9vTime^-3",0.772088816953905,0
"1704","IPC2000","mips","schedule","schedule-6-2",0,"D","Time","D^-9vTime^-3",0.772088816953905,0
"1710","IPC2000","mips","schedule","schedule-6-1",0,"D","Time","D^-9vTime^-3",0.772088816953905,0
"1712","IPC2000","mips","schedule","schedule-5-2",0,"D","Time","D^-9vTime^-3",0.772088816953905,0
"1713","IPC2000","mips","schedule","schedule-5-2",0,"D","Time","D^-9vTime^-3",0.772088816953905,0
"1714","IPC2000","mips","schedule","schedule-5-2",0,"D","Time","D^-9vTime^-3",0.772088816953905,0
"1715","IPC2000","mips","schedule","schedule-5-2",0,"D","Time","D^-9vTime^-3",0.772088816953905,0
"1720","IPC2000","mips","schedule","schedule-7-1",0,"D","Time","D^-9vTime^-3",0.772088816953905,0
"1721","IPC2000","mips","schedule","schedule-7-0",0,"D","Time","D^-9vTime^-3",0.772088816953905,0
"1722","IPC2000","mips","schedule","schedule-7-2",0,"D","Time","D^-9vTime^-3",0.772088816953905,0
"1750","IPC2000","ff","schedule","schedule-10-0",2,"D","Time","D^-9vTime^-3",0.588971736123686,-0.00621466892431879
"1751","IPC2000","ff","schedule","schedule-10-1",2,"D","Time","D^-9vTime^-3",0.588971736123686,-0.00621466892431879
"1752","IPC2000","ff","schedule","schedule-10-2",2,"D","Time","D^-9vTime^-3",0.588971736123686,-0.00621466892431879
"1754","IPC2000","ff","schedule","schedule-11-1",1,"D","Time","D^-9vTime^-3",0.588971736123686,-0.00621466892431879
"1755","IPC2000","ff","schedule","schedule-11-2",2,"D","Time","D^-9vTime^-3",0.588971736123686,-0.00621466892431879
