"","pkey","com","dom","gn","solvedg","minSteps","graph","complete","gl","fap","parallel","GClass"
"146","IPC1998-mystery-strips-mysty-x-4","IPC1998","mystery","strips-mysty-x-4",0,Inf,0,0,0,0,1,"NSNG"
"147","IPC1998-mystery-strips-mysty-x-5","IPC1998","mystery","strips-mysty-x-5",0,Inf,0,0,0,0,1,"NSNG"
"148","IPC1998-mystery-strips-mysty-x-6","IPC1998","mystery","strips-mysty-x-6",0,Inf,1,1,9,9,1,"NSG"
"149","IPC1998-mystery-strips-mysty-x-7","IPC1998","mystery","strips-mysty-x-7",0,Inf,0,0,0,0,1,"NSNG"
"150","IPC1998-mystery-strips-mysty-x-8","IPC1998","mystery","strips-mysty-x-8",0,Inf,0,0,0,0,1,"NSNG"
"151","IPC1998-mystery-strips-mysty-x-9","IPC1998","mystery","strips-mysty-x-9",1,8,1,1,5,5,1,"SGCP"
"152","IPC2000-blocks-BLOCKS-10-0","IPC2000","blocks","BLOCKS-10-0",1,34,1,1,34,20,0,"SGCNP"
"153","IPC2000-blocks-BLOCKS-10-1","IPC2000","blocks","BLOCKS-10-1",1,32,1,1,32,16,0,"SGCNP"
"154","IPC2000-blocks-BLOCKS-10-2","IPC2000","blocks","BLOCKS-10-2",1,34,1,1,34,20,0,"SGCNP"
"155","IPC2000-blocks-BLOCKS-11-0","IPC2000","blocks","BLOCKS-11-0",1,32,1,1,32,16,0,"SGCNP"
"156","IPC2000-blocks-BLOCKS-11-1","IPC2000","blocks","BLOCKS-11-1",1,30,1,0,29,9,1,"SIG"
"157","IPC2000-blocks-BLOCKS-11-2","IPC2000","blocks","BLOCKS-11-2",1,34,1,1,34,18,0,"SGCNP"
"158","IPC2000-blocks-BLOCKS-12-0","IPC2000","blocks","BLOCKS-12-0",1,34,1,1,34,20,0,"SGCNP"
"159","IPC2000-blocks-BLOCKS-12-1","IPC2000","blocks","BLOCKS-12-1",1,34,1,1,34,22,0,"SGCNP"
"160","IPC2000-blocks-BLOCKS-13-0","IPC2000","blocks","BLOCKS-13-0",1,44,1,0,42,22,1,"SIG"
"161","IPC2000-blocks-BLOCKS-13-1","IPC2000","blocks","BLOCKS-13-1",1,44,1,0,43,24,1,"SIG"
"162","IPC2000-blocks-BLOCKS-14-0","IPC2000","blocks","BLOCKS-14-0",1,38,1,0,37,20,1,"SIG"
"163","IPC2000-blocks-BLOCKS-14-1","IPC2000","blocks","BLOCKS-14-1",1,36,1,0,31,12,1,"SIG"
"164","IPC2000-blocks-BLOCKS-15-0","IPC2000","blocks","BLOCKS-15-0",1,48,1,0,32,14,1,"SIG"
"165","IPC2000-blocks-BLOCKS-15-1","IPC2000","blocks","BLOCKS-15-1",1,54,1,0,48,28,1,"SIG"
"166","IPC2000-blocks-BLOCKS-16-1","IPC2000","blocks","BLOCKS-16-1",1,56,1,0,46,26,1,"SIG"
"167","IPC2000-blocks-BLOCKS-16-2","IPC2000","blocks","BLOCKS-16-2",1,58,1,0,47,30,1,"SIG"
"168","IPC2000-blocks-BLOCKS-17-0","IPC2000","blocks","BLOCKS-17-0",1,48,1,0,33,14,1,"SIG"
"169","IPC2000-blocks-BLOCKS-17-1","IPC2000","blocks","BLOCKS-17-1",1,60,1,0,46,26,1,"SIG"
"170","IPC2000-blocks-BLOCKS-18-0","IPC2000","blocks","BLOCKS-18-0",1,64,1,0,41,24,1,"SIG"
"171","IPC2000-blocks-BLOCKS-18-1","IPC2000","blocks","BLOCKS-18-1",1,64,1,0,47,30,1,"SIG"
"172","IPC2000-blocks-BLOCKS-19-0","IPC2000","blocks","BLOCKS-19-0",1,62,1,0,53,36,1,"SIG"
"173","IPC2000-blocks-BLOCKS-19-1","IPC2000","blocks","BLOCKS-19-1",1,58,1,0,47,30,1,"SIG"
"174","IPC2000-blocks-BLOCKS-20-0","IPC2000","blocks","BLOCKS-20-0",1,60,1,0,49,34,1,"SIG"
"175","IPC2000-blocks-BLOCKS-20-1","IPC2000","blocks","BLOCKS-20-1",1,72,1,0,53,38,1,"SIG"
"176","IPC2000-blocks-BLOCKS-25-0","IPC2000","blocks","BLOCKS-25-0",1,90,1,0,47,32,1,"SIG"
"177","IPC2000-blocks-BLOCKS-25-1","IPC2000","blocks","BLOCKS-25-1",1,92,1,0,57,42,1,"SIG"
