com,dom,gn,fap,pl,gl
IPC2000,blocks,BLOCKS-32-1,58,0,58
IPC2000,blocks,BLOCKS-4-0,4,6,6
IPC2000,blocks,BLOCKS-4-1,10,10,10
IPC2000,blocks,BLOCKS-4-2,6,6,6
IPC2000,blocks,BLOCKS-5-0,10,12,12
IPC2000,blocks,BLOCKS-5-1,8,10,10
IPC2000,blocks,BLOCKS-5-2,12,16,16
IPC2000,blocks,BLOCKS-6-0,9,12,12
IPC2000,blocks,BLOCKS-6-1,6,10,10
IPC2000,blocks,BLOCKS-6-2,14,20,20
IPC2000,blocks,BLOCKS-7-0,16,20,20
IPC2000,blocks,BLOCKS-7-1,12,22,22
IPC2000,blocks,BLOCKS-7-2,12,20,20
IPC2000,blocks,BLOCKS-8-0,9,18,18
IPC2000,blocks,BLOCKS-8-1,10,20,20
IPC2000,blocks,BLOCKS-8-2,10,16,16
IPC2000,blocks,BLOCKS-9-0,18,30,30
IPC2000,blocks,BLOCKS-9-1,20,28,28
IPC2000,blocks,BLOCKS-9-2,18,26,26
IPC2000,elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,14
IPC2000,elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,13
IPC2000,elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,13
IPC2000,elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,13
IPC2000,elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,15,10
IPC2000,elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,15,10
IPC2000,elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,13
IPC2000,elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,13
IPC2000,elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,18
IPC2000,elevator,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,23,24
IPC2000,elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,12
IPC2000,elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,12
IPC2000,elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,22,21
IPC2000,elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,24,22
IPC2000,elevator,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,12
