Planner,P2,Problem,Time,# Steps
yrefanid,GRT,mixed-f58-p29-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,22.67,107
yrefanid,GRT,mixed-f6-p3-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,0.42,11
yrefanid,GRT,mixed-f6-p3-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,0.41,11
yrefanid,GRT,mixed-f6-p3-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,0.41,10
yrefanid,GRT,mixed-f6-p3-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,0.4,10
yrefanid,GRT,mixed-f6-p3-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,0.4,10
yrefanid,GRT,mixed-f60-p30-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,26.97,101
yrefanid,GRT,mixed-f60-p30-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,23.95,105
yrefanid,GRT,mixed-f60-p30-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,25.4,102
yrefanid,GRT,mixed-f60-p30-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,24.79,107
yrefanid,GRT,mixed-f60-p30-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,25.27,103
yrefanid,GRT,mixed-f8-p4-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,0.42,14
yrefanid,GRT,mixed-f8-p4-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,0.41,13
yrefanid,GRT,mixed-f8-p4-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,0.43,15
yrefanid,GRT,mixed-f8-p4-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,0.43,16
yrefanid,GRT,mixed-f8-p4-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,0.42,16
soweare,TokenPlan,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6.3,17
soweare,TokenPlan,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,10.01,17
soweare,TokenPlan,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,1.27,15
soweare,TokenPlan,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6.88,17
soweare,TokenPlan,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,7.43,18
soweare,TokenPlan,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,20.41,19
soweare,TokenPlan,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,20.33,19
soweare,TokenPlan,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,45.84,20
soweare,TokenPlan,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,22.26,20
soweare,TokenPlan,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,49.79,21
soweare,TokenPlan,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,209.68,23
soweare,TokenPlan,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,401.04,24
soweare,TokenPlan,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,70.78,22
soweare,TokenPlan,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,92.48,22
soweare,TokenPlan,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,634.8,25
soweare,TokenPlan,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,1311.01,26
soweare,TokenPlan,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,0,4
soweare,TokenPlan,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,0,3
soweare,TokenPlan,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,0,4
soweare,TokenPlan,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,0.01,4
soweare,TokenPlan,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,0.01,4
soweare,TokenPlan,mixed-f4-p2-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,0.01,7
soweare,TokenPlan,mixed-f4-p2-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,0.02,7
soweare,TokenPlan,mixed-f4-p2-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,0.01,7
soweare,TokenPlan,mixed-f4-p2-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,0.01,7
soweare,TokenPlan,mixed-f4-p2-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,0.01,7
soweare,TokenPlan,mixed-f6-p3-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,0.06,10
soweare,TokenPlan,mixed-f6-p3-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,0.15,11
soweare,TokenPlan,mixed-f6-p3-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,0.14,10
soweare,TokenPlan,mixed-f6-p3-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,0.06,10
soweare,TokenPlan,mixed-f6-p3-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,0.13,10
soweare,TokenPlan,mixed-f8-p4-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,0.73,14
soweare,TokenPlan,mixed-f8-p4-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,0.7,13
soweare,TokenPlan,mixed-f8-p4-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,1.62,15
soweare,TokenPlan,mixed-f8-p4-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,1.68,15
soweare,TokenPlan,mixed-f8-p4-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,1.9,15
stanplan,STAN,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,0.01,17
stanplan,STAN,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,0.01,17
stanplan,STAN,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,0.02,15
stanplan,STAN,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,0.02,17
stanplan,STAN,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,0.01,18
stanplan,STAN,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,0.05,21
stanplan,STAN,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,0.02,19
stanplan,STAN,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,0.06,23
stanplan,STAN,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,0.04,20
stanplan,STAN,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,0.01,21
stanplan,STAN,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,0.02,23
stanplan,STAN,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,0.1,28
stanplan,STAN,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,0.02,23
stanplan,STAN,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,0.03,22
stanplan,STAN,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,0.02,25
stanplan,STAN,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,0.03,27
stanplan,STAN,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,0.16,30
stanplan,STAN,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,0.16,28
stanplan,STAN,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,0.02,28
stanplan,STAN,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,0.03,27
stanplan,STAN,mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,0.25,35
stanplan,STAN,mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,0.05,30
stanplan,STAN,mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,0.04,30
stanplan,STAN,mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,0.04,32
stanplan,STAN,mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,0.04,28
stanplan,STAN,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,0.01,4
stanplan,STAN,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,0.01,3
stanplan,STAN,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,0.01,4
stanplan,STAN,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,0.01,4
stanplan,STAN,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,0.01,4
stanplan,STAN,mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,0.05,33
stanplan,STAN,mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,0.06,34
stanplan,STAN,mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,0.07,33
stanplan,STAN,mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,0.05,35
stanplan,STAN,mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,0.06,33
stanplan,STAN,mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,0.07,37
stanplan,STAN,mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,0.09,35
stanplan,STAN,mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,0.53,42
stanplan,STAN,mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,0.09,38
stanplan,STAN,mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,0.09,35
stanplan,STAN,mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,0.11,40
stanplan,STAN,mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,0.7,45
stanplan,STAN,mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,0.12,40
stanplan,STAN,mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,0.11,40
stanplan,STAN,mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,0.11,42
stanplan,STAN,mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,0.9,46
stanplan,STAN,mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,0.19,42
stanplan,STAN,mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,0.16,46
stanplan,STAN,mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,0.15,43
stanplan,STAN,mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,0.14,41
stanplan,STAN,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,0.19,45
stanplan,STAN,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,1.26,54
stanplan,STAN,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,0.19,49
stanplan,STAN,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,1.17,49
stanplan,STAN,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,0.2,47
stanplan,STAN,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,0.25,47
stanplan,STAN,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,0.25,52
stanplan,STAN,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,0.25,51
stanplan,STAN,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,0.25,51
stanplan,STAN,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,0.25,49
